symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,11863,,1.568373757703746,3.0459849535258177,4.677597748764483,24.172681412670517,31.68525174158968,19.732230729651256,,36030623507,true,2010-08-16 00:00:00,18476698,,,true,true,219184566363
ETH,ETH,Ethereum,,ethereum,458.39,,7.714749219435093,17.166162749278545,21.031064262967707,91.98670580838277,99.6371088464535,164.51636110450187,,25596090612,true,2015-08-07 14:55:00,112420918,,,true,true,51532928241
USDT,USDT,Tether,,tether,1.000692885670139,,-0.05781743091039725,0.0554549877032095,0.07276465286986673,0.06430018827428144,0.05097190875332615,0.1509326763037794,,67260408649,true,2017-08-06 00:09:09,13493996034,,,true,true,13503345831
XRP,XRP,XRP,ripple,ripple,0.28951332931944446,,2.7627799045643897,2.884122948794729,-0.7883144081342565,42.60028716126247,21.255481523650996,12.736284688097971,,2259706355,true,2013-08-04 18:55:00,43299885509,,,true,true,12535894013
DOT,DOT,Polkadot,,polkadot,6.43,,5.900830279121905,29.420613868461103,,,,,,597437850,true,2020-08-21 10:00:00,897658000,,,true,true,5770116588
LINK,LINK,ChainLink,,chainlink,16,,-2.5045405125411184,9.362522764704805,92.57893959777103,261.1853128401344,236.26588453857957,795.0227553998251,,2512582884,true,2017-09-20 21:00:00,350000000,,,true,true,5601248131
BCH,BCH,Bitcoin Cash,,bitcoin-cash,279.98,,1.1135854331246733,-0.694719718095294,-5.050776321991501,12.273988761169436,-16.365376937604807,-4.500195531119659,,2983331965,true,2017-07-23 16:35:00,18505646,,,true,true,5181143238
LTC,LTC,Litecoin,,litecoin,62.53,,1.161890028347927,4.5164245768648295,7.0106936687284485,34.532132308109034,1.1365478532959543,-5.099380348857071,,2587671823,true,2013-04-28 18:50:00,65358504,,,true,true,4087036039
ADA,ADA,Cardano,,cardano,0.12364842784375006,,4.346626161861881,4.6968321437717115,-9.722562574702412,51.7045292319298,143.25271971494246,178.77605344825244,,666491697,true,2017-10-01 20:45:00,31463134113,,,true,true,3890367068
BCHSV,BSV,Bitcoin SV,,bitcoin-sv,197.56,,1.3273636125548998,0.6512528811532122,-12.545946600535146,1.731716753654501,-18.077555583413613,50.074856247039854,,379895260,true,2018-11-09 02:40:00,18504128,,,true,true,3655614181
CRO,CRO,Crypto.com Coin,,crypto-com-coin,0.18046831277083322,,1.153867108370574,5.126598733167911,7.5051727267691755,94.35789627565285,212.59021673076734,310.4010186255181,,88173596,true,2018-12-14 13:00:00,19714249893,,,true,true,3557797416
BNB,BNB,Binance Coin,,binance-coin,23.67,,1.3196596579573854,7.920978761040469,13.521398704181642,36.48748023047429,13.365534934878509,8.270178191564902,,615695091,true,2017-08-16 00:09:21,144406560,,,true,true,3417704039
EOS,EOS,EOS,,eos,3.33,,2.763634811423191,2.721098589635966,8.93333084568001,24.72831798040781,-10.136094631475528,1.6565579624473323,,2897921939,true,2017-08-07 00:09:36,935685007,,,true,true,3118915550
XTZ,XTZ,Tezos,,tezos,3.36,,0.18868515157157373,-4.5912166331008075,13.97997334748278,14.928120218946505,5.682431082136851,219.42568516772917,,269568235,true,2017-10-02 16:04:41,741765087,,,true,true,2493895232
TRX,TRX,TRON,,tron,0.03140801374999999,,14.201118573740601,30.944077031115935,60.99994229975746,90.22777753513851,73.56832131198631,102.16284638829414,,2002586044,true,2017-09-13 01:20:00,66671432938,,,true,true,2094017282
XLM,XLM,Stellar,,stellar,0.09856744825,,1.541669105551065,-1.2517285475703233,-6.41083675987016,22.796679593384912,63.58515628767285,58.17702450637534,,192593249,true,2014-08-05 05:50:00,20609368488,,,true,true,2031412862
XMR,XMR,Monero,,monero,95.34,,0.5333172958672328,5.109313597077106,10.762512430313123,41.95502931701364,39.11047146882208,33.52513965909391,,151470792,true,2014-05-21 01:45:00,17683825,,,true,true,1686016534
OKB,OKB,OKB,,okb,5.76,,3.499411382088566,7.213073624099992,-2.154991859673718,10.918609833896031,4.271822359416449,124.3568337591823,,96810443,true,2018-04-17 10:27:11,282838289,,,true,true,1629268719
NEO,NEO,NEO,,neo,21.21,,2.2042249753480148,21.54506025203791,68.56724573386708,74.25252852178036,74.51206611820672,138.50724689380527,,1064945138,true,2016-09-09 03:15:00,70538831,,,true,true,1496399203
ATOM,ATOM,Cosmos,,cosmos,7.33,,-2.2256244356755372,-10.448779342197207,86.14172019035297,159.88418148885293,89.45998607164965,247.04898198226925,,432887935,true,2016-10-09 22:35:00,202456800,,,true,true,1483195991
USDC,USDC,USD Coin,,usd-coin,0.9977395404575653,,0.17834781458104298,-0.17593379361085737,-0.2134279906494391,0.04477543138448835,-0.1416566302558372,0.03720828260575334,,276515287,true,2018-10-08 12:10:00,1474733708,,,true,true,1471400133
XEM,XEM,NEM,,nem,0.15492533034722214,,13.562014534879523,64.71443108701469,182.31536422241587,237.87342375321612,187.8991451303071,211.61694909798064,,244151972,true,2015-04-01 00:35:00,8999999999,,,true,true,1394327973
UMA,UMA,UMA,,uma,24.15,,26.365069921417454,264.14940182026265,444.85025212527034,1569.4811803770558,,,,113441255,true,2020-05-14 09:30:00,54473769,,,true,true,1315464471
LEO,LEO,UNUS SED LEO,,unus-sed-leo,1.2744804543797907,,0.1895526802630554,0.8024067856792543,0.023924723964478246,6.046329491739897,31.574988345352345,12.44515668714813,,12174986,true,2019-05-21 18:40:00,999498893,,,true,true,1273841803
HT,HT,Huobi Token,,huobi-token,4.92,,-0.028502878401171963,2.934116721242483,8.18474987847464,21.3422078500655,4.0717172205934915,27.355979783515377,,216474586,true,2018-02-03 20:00:00,213712640,,,true,true,1052278599
IOT,MIOTA,IOTA,,iota,0.36659380957839716,,0.8453166636971114,-2.229743421308491,24.111177246506305,52.88242580712389,57.20565488564885,49.07753101686676,,31574290,true,2017-06-13 14:35:00,2779530283,,,true,true,1018958595
YFI,YFI,yearn.finance,,yearn-finance,33745,,-2.097477701650564,144.25571437213048,771.7924915074457,,,,,1103411477,true,2020-07-20 12:20:00,29963,,,true,true,1011110234
LEND,LEND,Aave [old],,aave,0.7539626751010446,,-2.0750795921933607,4.261724857643382,137.69750706418978,1111.4512834797783,2448.2633474945424,18164.476599445836,,224771640,true,2017-11-30 07:05:00,1299999942,,,true,true,980151434
VET,VET,VeChain,,vechain-token,0.017248757760416667,,-3.5131556017314756,-0.8915507299279688,4.9373091813239585,142.6412274660691,179.36399279836198,308.591247563771,,208558261,true,2018-07-24 04:10:00,55454549400,,,true,true,956522089
DASH,DASH,Dash,,dash,88.13,,0.7985465389572637,0.26414136622117806,1.2197533857765883,13.308244236503603,-2.1994569980215943,9.205620220799778,,376757694,true,2014-02-14 13:50:00,9685679,,,true,true,853618224
ZEC,ZEC,Zcash,,zcash,81.3,,2.5919438017294034,6.019557006845823,-3.840141813847441,57.64077259512731,56.77490955717912,78.22083375096277,,376731697,true,2016-10-29 15:25:00,9940713,,,true,true,808162799
ETC,ETC,Ethereum Classic,,ethereum-classic,6.68,,0.37689444535873556,0.4663633181722318,-8.928430710768628,-3.4691945617284463,-18.10333999381195,3.0069866832525745,,696219582,true,2016-07-24 13:50:00,116313299,,,true,true,776852923
MKR,MKR,Maker,,maker,718.87,,7.3841946194475785,10.405582195217681,24.270441446051972,67.53686289805583,31.519663722239354,53.245565845835415,,109702224,true,2017-08-27 23:15:00,1005577,,,true,true,722876708
SNX,SNX,Synthetix,,synthetix,7.47,,3.589954614338336,23.868335420284737,90.28864716430198,830.7009274363985,856.5291293238729,1792.6875686453468,,221692968,true,2018-11-30 14:10:00,95335925,,,true,true,712542836
OMG,OMG,OMG Network,,omisego,5.06,,-4.415449427783661,-7.562996796422991,216.94775061763968,193.72486638301865,445.8413728058021,369.3791732841279,,673669321,true,2017-07-14 04:40:00,140245397,,,true,true,709611473
COMP,COMP,Compound,,compound,251.53,,12.406777499876418,45.09840708131357,93.23766550487153,,,,,378073621,true,2020-07-15 13:40:00,2561278,,,true,true,644239314
ONT,ONT,Ontology,,ontology,0.893633603777778,,0.10115621712765356,6.144790577703848,26.994586757478856,49.6556388017882,21.80786832250122,24.658675808150782,,261235919,true,2018-03-08 07:20:00,699029876,,,true,true,624676588
BAT,BAT,Basic Attention Token,,basic-attention-token,0.3419073333473686,,-1.855227333738586,-8.326128034109741,37.06878925474515,56.7529478986081,42.92075664219671,81.65858808894771,,122403872,true,2017-08-08 00:09:19,1460250287,,,true,true,499270282
ZRX,ZRX,0x,,0x,0.6133585452508835,,-1.2427472780742534,-8.893607917741083,59.26674598450488,86.01235851853954,121.75798896072804,257.207354667366,,123982729,true,2017-08-16 14:15:00,720082672,,,true,true,441668861
BTT,BTT,BitTorrent,,bittorrent-token,0.0004457435909090908,,-1.5599945603108534,6.641084039195844,14.955893075779834,50.01059086851337,17.68229471380674,-15.002975403949318,,50476940,true,2019-01-31 10:10:00,986736342106,,,true,true,439831400
THETA,THETA,Theta Token,,theta-token,0.49202881801742165,,-1.6214439671712686,-4.210669762726738,71.84486337020054,88.6881702894783,262.0427654543315,350.0955819360325,,85177133,true,2018-01-17 17:40:00,870502689,,,true,true,428312410
WBTC,WBTC,Wrapped Bitcoin,,wrapped-bitcoin,11908,,2.2163651408170106,3.400792913900353,5.046779128509291,24.510766189530855,32.743007822719136,16.746353519726124,,16955654,true,2019-01-31 11:35:00,35854,,,true,true,426941635
